elapsed_time_s,speed_px_s,flow_x_px,flow_y_px
1716129761315.6218,-20.5389,-11.1762,23.3827
1716129762927.8970,-20.3027,-11.1164,23.1468
1716129764534.3857,-19.4263,-10.5834,22.1222
1716129766142.7896,-20.4750,-11.1511,23.3146
1716129767755.8237,-20.3058,-11.0890,23.1364
1716129769362.2583,-19.5866,-10.6564,22.2979
1716129770972.4753,-20.5976,-11.2314,23.4607
1716129772589.0254,-20.6207,-11.2072,23.4695
1716129774204.6458,-20.7858,-11.3635,23.6892
1716129775822.5588,-20.1847,-11.0026,22.9886
1716129777478.9487,-20.3797,-11.1037,23.2083
1716129779094.9482,-20.4611,-11.1752,23.3140
1716129780702.8469,-19.3017,-10.4944,21.9702
1716129782324.7063,-20.4337,-11.1457,23.2758
1716129783933.3801,-20.7804,-11.3676,23.6864
1716129785556.4622,-20.7097,-11.2426,23.5645
1716129787192.7402,-20.9305,-11.4336,23.8498
1716129788901.9697,-21.9274,-11.9428,24.9688
1716129790589.7766,-20.7894,-11.2814,23.6531
1716129792282.5764,-22.2722,-12.1180,25.3554
1716129793931.8630,-20.3569,-11.0525,23.1638
1716129795582.9622,-20.8943,-11.3291,23.7681
1716129797252.8574,-21.9986,-11.9569,25.0381
1716129798892.2468,-20.4098,-11.0947,23.2305
1716129800550.7561,-20.7822,-11.2788,23.6455
1716129802197.2798,-20.3023,-11.0189,23.0997
1716129803836.5242,-20.9057,-11.3872,23.8058
1716129805485.9922,-21.0936,-11.4566,24.0041
1716129807152.6313,-22.2328,-12.0522,25.2894
1716129808862.2922,-21.1481,-11.4902,24.0679
1716129810535.5051,-22.2799,-12.1050,25.3560
1716129812200.1243,-20.9617,-11.4033,23.8627
1716129813866.4919,-22.5022,-12.1938,25.5937
1716129815534.7358,-20.7602,-11.2823,23.6279
1716129817217.5647,-21.1593,-11.4852,24.0755
1716129818884.1233,-21.9518,-11.8424,24.9425
1716129820551.7434,-20.7046,-11.2682,23.5723
1716129822229.0559,-21.9180,-11.8670,24.9244
1716129823903.8726,-20.9841,-11.3749,23.8689
1716129825623.2566,-22.4542,-12.1902,25.5498
1716129827290.4072,-20.3533,-11.0583,23.1634
1716129828951.6746,-20.8886,-11.3213,23.7593
1716129830618.9751,-22.3429,-12.1119,25.4146
1716129832287.9653,-21.1032,-11.4756,24.0215
1716129833962.0688,-20.9653,-11.4007,23.8646
1716129835654.6707,-22.5960,-12.2702,25.7126
1716129837307.9426,-21.0376,-11.4131,23.9341
1716129838968.3215,-20.5506,-11.1683,23.3892
1716129840625.8303,-21.9903,-11.9396,25.0226
1716129842331.5178,-20.0641,-10.8718,22.8203
1716129843973.6523,-20.4352,-11.1275,23.2683
1716129845633.1714,-22.2879,-12.0820,25.3520
1716129847298.7036,-20.5096,-11.1617,23.3501
1716129848979.1077,-20.7740,-11.2458,23.6226
1716129850633.2402,-21.8039,-11.8427,24.8125
1716129852283.0300,-20.4586,-11.1337,23.2919
1716129853962.0737,-20.6411,-11.2062,23.4869
1716129855760.9092,-22.9368,-12.4689,26.1069
1716129857484.4617,-21.8500,-11.8631,24.8628
1716129859209.8677,-21.7381,-11.8049,24.7366
1716129860858.4709,-20.0211,-10.8531,22.7735
